ee_sandbox_ee_fifa_parsed_players_parsed_name,position_group,ee_sandbox_ee_fifa_parsed_teams_parsed_name,minutes_played,goals,xg,assists,xa,matches_played
Jesper Lindstrøm,Midfielder,Denmark,200,0,0.305,0,0.035,3
Tim Ream,Defender,USA,725,0,0.3,0,0.113,9
Abdelkarim Hassan,Defender,Qatar,270,0,0.296,0,0.049,3
Manuel Neuer,Goalkeeper,Germany,930,0,0.292,0,0.004,10
Luis Chávez,Midfielder,Mexico,294,1,0.29100000000000004,0,0.807,8
Manu Koné,Midfielder,France,397,0,0.28700000000000003,0,0.247,8
Edinson Cavani,Forward,Uruguay,466,3,0.28700000000000003,0,0.159,7
Kristoffer Ajer,Defender,Norway,480,0,0.28700000000000003,0,0.42200000000000004,6
Antoine Semenyo,Midfielder,Ghana,387,0,0.28600000000000003,0,0.046,7
Virgil van Dijk,Defender,Netherlands,870,1,0.285,1,0.241,9
Antonio Nusa,Forward,Norway,325,1,0.28400000000000003,0,0.186,6
Nicolas N'Koulou,Defender,Cameroon,180,0,0.283,0,0.025,2
Nizar Al-Rashdan,Midfielder,Jordan,256,1,0.28,0,0.057999999999999996,3
Craig Goodwin,Midfielder,Australia,235,1,0.28,0,0.293,4
Yannick Carrasco,Forward,Belgium,356,0,0.28,0,0.05,10
Jean-Ricner Bellegarde,Midfielder,Haiti,261,0,0.279,0,0.275,3
Thomas Meunier,Defender,Belgium,859,1,0.272,3,0.53,15
Pedro Miguel,Defender,Qatar,533,0,0.272,0,0.10099999999999999,6
Marcel Sabitzer,Midfielder,Austria,360,1,0.272,0,0.994,4
Jules Koundé,Defender,France,1108,0,0.26999999999999996,0,0.508,15
Tijjani Reijnders,Midfielder,Netherlands,201,0,0.269,1,0.384,4
Pedri,Midfielder,Spain,856,0,0.264,0,3.108,12
Thomas Partey,Midfielder,Ghana,540,0,0.263,0,0.221,6
Chris Wood,Forward,New Zealand,281,0,0.262,2,0.191,3
Teun Koopmeiners,Midfielder,Netherlands,342,0,0.261,1,0.29500000000000004,9
Marquinhos,Defender,Brazil,882,0,0.261,0,1.332,15
Carlos Harvey,Midfielder,Panama,268,0,0.26,0,0.171,3
Dejan Lovren,Defender,Croatia,1251,0,0.256,1,0.076,14
Roberto Alvarado,Forward,Mexico,460,0,0.253,3,1.465,8
Steven Berghuis,Forward,Netherlands,199,0,0.251,1,0.157,5
Sofiane Boufal,Forward,Morocco,482,0,0.251,0,0.45299999999999996,7
Edson Álvarez,Midfielder,Mexico,702,0,0.251,0,0.403,12
Shogo Taniguchi,Defender,Japan,441,0,0.25,0,0.037,8
Pico,Defender,Cabo Verde,390,0,0.249,0,0.018,4
Arkadiusz Milik,Forward,Poland,180,0,0.246,0,0.011,7
Johan Mojica,Defender,Colombia,780,0,0.246,0,0.155,9
Jefferson Lerma,Midfielder,Colombia,588,0,0.243,0,0.174,9
César Montes,Defender,Mexico,585,0,0.243,1,0.582,7
Mathew Leckie,Midfielder,Australia,667,1,0.242,1,0.05,9
Connor Metcalfe,Midfielder,Australia,322,1,0.242,0,0.119,4
Cédric Bakambu,Forward,DR Congo,193,0,0.242,0,0.20400000000000001,4
Declan Rice,Midfielder,England,989,1,0.241,2,1.2389999999999999,13
Alireza Jahanbakhsh,Forward,Iran,282,0,0.24,0,0.323,8
Jordan Bos,Defender,Australia,309,0,0.23800000000000002,0,0.223,4
Juninho Bacuna,Midfielder,Curaçao,255,0,0.238,0,0.139,3
Livano Comenencia,Defender,Curaçao,235,1,0.238,0,0.07,3
Ryan Mendes,Midfielder,Cabo Verde,331,0,0.237,1,0.164,4
Amir Murillo,Defender,Panama,450,0,0.23600000000000002,0,0.277,5
Davy Klaassen,Midfielder,Netherlands,191,1,0.235,2,0.062,5
Brian Gutiérrez,Midfielder,Mexico,211,0,0.23399999999999999,0,0.217,5
Giovanni Reyna,Midfielder,USA,193,1,0.23299999999999998,0,0.223,9
Eldor Shomurodov,Forward,Uzbekistan,269,1,0.23299999999999998,0,0.118,3
Ali Ahmed,Midfielder,Canada,236,0,0.228,0,0.318,5
Jan Paul van Hecke,Defender,Netherlands,390,1,0.22799999999999998,0,0.32399999999999995,4
Kamil Glik,Defender,Poland,460,0,0.22799999999999998,0,0.008,7
Christ Inao Oulaï,Midfielder,Côte d'Ivoire,208,0,0.227,0,0.331,4
Daniel Amartey,Midfielder,Ghana,270,0,0.226,0,0.03,3
Yahia Attiyat Allah,Defender,Morocco,316,0,0.22599999999999998,1,0.295,7
Nuno Mendes,Defender,Portugal,439,1,0.22599999999999998,0,0.899,6
Kerim Alajbegović,Midfielder,Bosnia & Herzegovina,277,1,0.225,0,0.32,4
Elliot Anderson,Midfielder,England,634,0,0.221,1,0.566,8
Diego Gómez,Midfielder,Paraguay,307,0,0.22,0,0.037,4
João Neves,Midfielder,Portugal,391,1,0.22,0,0.281,5
Michael Boxall,Defender,New Zealand,217,0,0.22,0,0.04,3
Jesús Gallardo,Defender,Mexico,1004,0,0.218,0,0.399,12
Ghislain Konan,Defender,Côte d'Ivoire,269,0,0.218,0,0.059,4
Moise Bombito,Defender,Canada,194,0,0.215,0,0.107,5
Selim Amallah,Midfielder,Morocco,409,0,0.214,0,0.11699999999999999,7
Luc De Fougerolles,Defender,Canada,372,0,0.21399999999999997,0,0.147,5
Mason Mount,Midfielder,England,186,0,0.212,0,0.058,5
Donyell Malen,Forward,Netherlands,187,0,0.211,0,0.211,4
Pau Cubarsí,Defender,Spain,750,0,0.20800000000000002,0,0.729,8
Bryan Mbeumo,Forward,Cameroon,226,0,0.20800000000000002,0,0.17,3
